id;date;details;status;payment_method;payment_date;payment_amount
1;2020-01-27T21:15:04;RAM Focused;PAID;CASH_ON_DELIVERY;2020-01-28T05:37:11;64379
2;2020-01-27T18:05:10;Licensed Soft Sausages Rhode Island;CANCELLED;CASH_ON_DELIVERY;2020-01-27T23:15:28;17323
3;2020-01-27T22:32:35;Incredible Baby;CANCELLED;PAYPAL;2020-01-28T02:04:16;11017
4;2020-01-27T20:02:30;back-end Money Market Account Legacy;ISSUED;CASH_ON_DELIVERY;2020-01-27T20:06:38;51438
5;2020-01-27T14:42:38;function;PAID;PAYPAL;2020-01-28T07:16:43;32278
6;2020-01-27T15:42:26;action-items;CANCELLED;CASH_ON_DELIVERY;2020-01-28T05:29:38;5232
7;2020-01-28T08:29:09;Internal compressing Iceland;CANCELLED;CREDIT_CARD;2020-01-28T02:06:31;62169
8;2020-01-27T18:24:13;Toys;ISSUED;PAYPAL;2020-01-28T05:02:10;10756
9;2020-01-27T19:54:38;Small Rubber Salad Oklahoma;CANCELLED;PAYPAL;2020-01-28T09:38:11;58055
10;2020-01-27T18:32:23;navigate Home Loan Account Guinea-Bissau;PAID;PAYPAL;2020-01-28T06:58:34;94075
