id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-01-27T14:02:15;payment unleash Jamaican Dollar;1
2;Rest;2020-01-28T09:18:45;Plains;2
3;Quality Plastic plum;2020-01-27T13:39:07;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-01-28T10:06:19;Architect SSL;4
5;zero tolerance;2020-01-28T07:02:38;user-facing CSS;5
6;ADP Ouguiya;2020-01-28T02:59:06;Garden;6
7;auxiliary;2020-01-28T11:15:06;functionalities Bedfordshire withdrawal;7
8;Data;2020-01-27T14:13:07;Viaduct hybrid;8
9;mesh;2020-01-28T12:38:46;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-01-28T10:37:40;Re-engineered withdrawal Ball;10
